URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://www.law.columbia.edu/null,404,,1/19/17,Not found,Desktop,5/10/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=613546,404,,1/21/17,Not found,Desktop,6/11/17
http://www.law.columbia.edu/law_school/communications/reports/winter2004/bio,404,,1/20/17,Not found,Desktop,7/16/17
http://www.law.columbia.edu/media_inquiries/currentevents,404,,7/16/17,Not found,Desktop,7/16/17
http://www.law.columbia.edu/null?&layout=d&main.view=static.refresh,404,,7/5/17,Not found,Desktop,7/5/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/BackgroundNoteASILColumbia.pdf,404,,1/23/17,Not found,Desktop,6/30/17
http://www.law.columbia.edu/fac/Theodore_Shaw,404,,7/10/17,Not found,Desktop,7/10/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/pubint,404,,6/24/17,Not found,Desktop,7/16/17
http://www.law.columbia.edu/ipimages,404,,7/2/17,Not found,Desktop,7/2/17
http://www.law.columbia.edu/_css,404,,6/30/17,Not found,Desktop,6/30/17
http://www.law.columbia.edu/_js,404,,6/30/17,Not found,Desktop,6/30/17
http://www.law.columbia.edu/fac/Amal_Clooney,404,,1/19/17,Not found,Desktop,7/26/17
http://www.law.columbia.edu/louis-henkin/55703,404,,1/19/17,Not found,Desktop,7/5/17
http://www.law.columbia.edu/content/what-can-prevent-next-corporate-meltdown,404,,6/2/17,Not found,Desktop,6/2/17
http://www.law.columbia.edu/fac/C._Hemphill,404,,3/10/17,Not found,Desktop,7/28/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=612486,404,,1/26/17,Not found,Desktop,6/12/17
http://www.law.columbia.edu/null?&,404,,1/20/17,Not found,Desktop,5/3/17
http://www.law.columbia.edu/fac/Trevor_Morrison,404,,7/9/17,Not found,Desktop,7/9/17
http://www.law.columbia.edu/fac/Nathaniel_Persily,404,,5/1/17,Not found,Desktop,7/24/17
http://www.law.columbia.edu/center_program/ag/resources/ag,404,,6/15/17,Not found,Desktop,6/15/17
http://www.law.columbia.edu/law_school/communications/reports/summer06/lawschoolcost,404,,1/20/17,Not found,Desktop,7/9/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/eur_hr,404,,1/25/17,Not found,Desktop,7/9/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002/brief,404,,1/21/17,Not found,Desktop,7/4/17
http://www.law.columbia.edu/fac/Brad_Greenberg,404,,3/26/17,Not found,Desktop,7/10/17
http://www.law.columbia.edu/law_school/communications/reports/summer06/capitalpunish,404,,1/21/17,Not found,Desktop,7/29/17
http://www.law.columbia.edu/focusareas/intlaw_portal,404,,2/8/17,Not found,Desktop,7/4/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/humrts,404,,7/9/17,Not found,Desktop,7/9/17
http://www.law.columbia.edu/fac/T.%20Alexander_Aleinikoff,404,,1/21/17,Not found,Desktop,7/5/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/Promises%20to%20Keep.pdf,404,,7/3/17,Not found,Desktop,7/3/17
http://www.law.columbia.edu/law_school/communications/reports/summer2004,404,,1/19/17,Not found,Desktop,7/26/17
http://www.law.columbia.edu/fac/Ariela_Dubler,404,,1/22/17,Not found,Desktop,7/6/17
http://www.law.columbia.edu/library/Research_Guides/foreign_law/foreignguide,404,,7/27/17,Not found,Desktop,7/29/17
http://www.law.columbia.edu/center_program/ag,404,,6/9/17,Not found,Desktop,7/23/17
http://www.law.columbia.edu/center_program/human_rights/Who_We_Are/CBettingerlopez,404,,3/8/17,Not found,Desktop,7/17/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=153843,404,,6/9/17,Not found,Desktop,7/5/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003/pmavroidis,404,,1/24/17,Not found,Desktop,7/28/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/eu,404,,1/19/17,Not found,Desktop,5/3/17
